i,gap_ms
0,0.2138
1,24.498
2,16.8862
3,23.2403
4,18.5849
5,21.0351
6,19.6805
7,20.2127
8,19.9216
9,20.0466
10,19.9773
11,17.9809
12,22.3196
13,19.6392
14,18.2929
15,22.0137
16,16.3384
17,20.8401
18,22.9835
19,18.6426
20,21.0005
21,16.18
22,21.2725
23,23.0334
24,18.7044
25,20.8841
26,18.5705
27,19.9956
28,21.6646
29,19.4507
30,18.1839
31,22.1527
32,18.926
33,19.5704
34,17.6137
35,24.5774
36,15.186
37,24.7987
38,17.3277
39,20.9382
40,21.0912
41,19.7644
42,17.3778
43,20.9302
44,20.7721
45,17.0561
46,24.8278
47,18.8052
48,20.3095
49,19.9758
50,19.795
51,20.2605
52,19.8017
53,20.025
54,19.9073
55,20.0912
56,20.075
57,18.3244
58,22.1686
59,18.7655
60,20.5929
61,20.2841
62,17.692
63,19.5177
64,23.2635
65,15.601
66,24.7164
67,18.8479
68,20.2838
69,19.8397
70,20.0826
71,19.2966
72,19.6755
73,21.3379
74,17.1402
75,19.0012
76,19.6094
77,24.8917
78,18.8693
79,19.8209
80,16.6278
81,24.6879
82,17.1965
83,22.3495
84,18.1679
85,17.5619
86,24.7816
87,17.4881
88,21.0432
89,20.5505
90,19.5505
91,17.202
92,23.2342
93,18.5081
94,20.3343
95,17.4605
96,24.567
97,15.4552
98,21.0964
99,22.34
100,19.8825
101,20.3251
102,17.0559
103,23.5204
104,19.245
105,19.9618
106,20.2679
107,18.1102
108,20.3992
109,18.4231
110,22.736
111,20.1725
112,19.9531
113,20.01
114,19.9902
115,20.0519
116,19.9337
117,20.218
118,19.7941
119,20.1736
120,19.6722
121,20.4074
122,16.196
123,24.4215
124,18.9181
125,20.0155
126,18.4435
127,20.0493
128,22.1247
129,19.4984
130,20.1918
131,19.0897
132,21.0748
133,17.7009
134,22.0341
135,16.6666
136,24.3611
137,17.7164
138,18.0606
139,23.226
140,16.8678
141,24.0014
142,19.0281
143,20.35
144,16.6311
145,24.0489
146,16.3029
147,23.5545
148,17.2075
149,22.1875
150,17.2863
151,19.8221
152,19.2268
153,24.378
154,15.6224
155,20.425
156,23.9428
157,18.984
158,18.3715
159,21.1751
160,20.83
161,17.864
162,20.5823
163,21.9123
164,19.3048
165,16.9683
166,19.7997
167,22.1404
168,21.629
169,19.4732
170,20.2314
171,17.0797
172,22.22
173,16.9507
174,23.9996
175,19.6928
176,17.8756
177,22.667
178,17.4693
179,21.3265
180,18.3274
181,22.9671
182,17.8505
183,18.0612
184,24.2848
185,17.4349
186,20.3573
187,18.639
188,23.2231
189,18.9118
190,19.6361
191,19.4408
192,21.8253
193,19.6703
194,19.6454
195,17.4377
196,23.657
197,18.0282
198,21.6058
199,19.17
200,18.0995
201,21.7553
202,20.4968
203,17.1347
204,18.9556
205,21.0449
206,22.0275
207,19.2261
208,22.1814
209,16.2134
210,24.0454
211,19.1768
212,18.6046
213,20.7525
214,20.3371
215,17.5567
216,23.0254
217,19.8068
218,20.0576
219,19.6227
220,17.5538
221,23.439
222,18.2239
223,20.8715
224,17.134
225,20.663
226,23.0624
227,18.3441
228,19.1506
229,21.4893
230,18.2679
231,22.5344
232,19.3231
233,19.3194
234,21.0737
235,19.6936
236,20.086
237,20.065
238,17.9999
239,20.178
240,22.2367
241,19.542
242,19.1419
243,21.2222
244,19.5185
245,16.5073
246,21.6436
247,22.5604
248,19.4207
249,19.2816
250,21.0265
251,17.6137
252,20.405
253,21.0012
254,20.8193
255,17.3575
256,23.2145
257,17.7555
258,18.7617
259,23.3864
260,16.2063
261,22.1443
262,19.9267
263,21.4605
264,19.6567
265,18.6407
266,17.9266
267,23.9889
268,19.4071
269,20.0835
270,18.1555
271,22.354
272,18.7404
273,20.5038
274,20.322
275,17.4725
276,20.3809
277,21.2772
278,21.0547
279,17.6354
280,22.6352
281,15.608
282,23.0024
283,21.1922
284,17.7353
285,22.3669
286,19.5202
287,19.1815
288,17.9893
289,23.5884
290,16.2602
291,23.795
292,19.0346
293,16.7237
294,24.3987
295,18.832
296,17.6035
297,21.6677
298,20.785
299,16.7907
300,20.493
301,23.6534
302,18.6952
303,17.3868
304,23.9723
305,16.6074
306,19.7204
307,19.5805
308,23.9514
309,19.0047
310,18.0271
311,22.7286
312,19.2662
313,20.2393
314,20.0293
315,19.7975
316,18.4732
317,21.2715
318,16.7905
319,23.6663
320,19.6756
321,17.7234
322,21.7381
323,17.1955
324,20.1428
325,24.3918
326,18.9731
327,20.1423
328,20.18
329,16.5863
330,24.153
331,18.6679
332,20.4859
333,19.9863
334,20.0015
335,19.9738
336,16.0658
337,22.5826
338,18.809
339,22.8719
340,17.5454
341,22.5776
342,19.314
343,20.2883
344,17.6598
345,20.3828
346,22.495
347,18.6048
348,18.5398
349,22.832
350,19.3003
351,17.4331
352,22.4109
353,16.7608
354,23.1785
355,20.3587
356,17.1114
357,23.7207
358,18.8989
359,19.6612
360,21.7265
361,18.6338
362,20.1695
363,16.5018
364,24.394
365,16.3412
366,19.4533
367,23.2415
368,20.3262
369,17.8647
370,20.2984
371,18.1508
372,24.262
373,15.7307
374,24.2501
375,16.8271
376,18.5407
377,23.7573
378,20.0799
379,20.0149
380,20.0892
381,18.7523
382,21.5533
383,19.6224
384,19.9895
385,18.2566
386,22.1394
387,19.416
388,20.162
389,19.966
390,20.1395
391,16.556
392,23.3728
393,19.8893
394,17.3039
395,21.2351
396,19.9468
397,22.0465
398,19.5002
399,20.19
400,18.3929
401,19.0855
402,22.9234
403,17.0764
404,19.216
405,22.7808
406,19.0512
407,20.6823
408,20.8615
409,19.8529
410,18.473
411,18.5745
412,23.0654
413,19.8222
414,16.6574
415,22.0243
416,21.7645
417,18.4194
418,17.6217
419,24.5354
420,17.7777
421,19.7592
422,21.7487
423,19.6655
424,18.3913
425,18.796
426,23.74
427,18.9158
428,19.4766
429,21.0054
430,16.2448
431,24.4442
432,16.3324
433,23.4503
434,19.0511
435,20.4116
436,17.8056
437,21.833
438,17.1383
439,21.0573
440,21.5895
441,19.4686
442,17.2861
443,23.2738
444,20.3373
445,18.6297
446,21.6105
447,19.6379
448,20.13
449,16.3029
450,23.5134
451,16.5065
452,21.7545
453,22.3771
454,19.5765
455,17.0276
456,23.459
457,19.3188
458,20.1651
459,20.1568
460,17.5809
461,19.8743
462,22.0644
463,20.4145
464,19.9716
465,18.8045
466,21.5175
467,19.3402
468,17.3813
469,20.6006
470,19.5543
471,23.0553
472,19.668
473,17.2026
474,22.0659
475,20.9483
476,17.595
477,22.3716
478,18.172
479,19.3381
480,22.8686
481,19.4818
482,17.2747
483,23.5073
484,19.0886
485,19.1119
486,21.2709
487,19.6179
488,17.4796
489,23.2815
490,16.1567
491,19.5448
492,24.6524
493,16.3933
494,20.3751
495,21.4644
496,21.0169
497,15.9593
498,22.1662
499,22.1384
