i,gap_ms
0,0.1221
1,25.0812
2,15.2579
3,24.6091
4,18.0763
5,18.7133
6,18.5117
7,24.7
8,17.615
9,19.5363
10,19.1346
11,23.3099
12,18.3402
13,19.3533
14,21.7277
15,17.2536
16,23.4942
17,17.6283
18,19.3924
19,22.9765
20,19.1966
21,20.1253
22,20.0361
23,20.0301
24,18.317
25,21.9546
26,19.4685
27,19.0014
28,21.5185
29,18.8077
30,20.3131
31,20.3628
32,16.8287
33,24.3162
34,18.8332
35,20.2926
36,19.9636
37,19.9878
38,20.0172
39,19.9518
40,18.1233
41,22.4226
42,18.8221
43,17.1818
44,24.3805
45,16.422
46,23.4262
47,17.1702
48,22.654
49,18.5845
50,21.0522
51,19.6643
52,19.6843
53,20.5082
54,16.7223
55,22.6664
56,18.2627
57,18.3153
58,25.0664
59,16.1781
60,21.7148
61,21.3249
62,18.0548
63,22.0604
64,19.4613
65,18.597
66,21.8309
67,18.2979
68,17.546
69,24.7463
70,18.8199
71,20.3454
72,17.4792
73,23.1259
74,19.2353
75,16.7419
76,24.1734
77,18.8932
78,17.5855
79,21.1793
80,20.8888
81,17.897
82,20.4178
83,18.3624
84,21.9005
85,18.6453
86,24.2989
87,16.2619
88,23.6369
89,15.3192
90,23.7846
91,16.5496
92,23.4089
93,20.2433
94,18.5506
95,20.1639
96,19.1278
97,19.7464
98,22.8401
99,18.8266
100,20.7321
101,19.7607
102,17.8336
103,20.2784
104,21.5199
105,16.604
106,24.1365
107,16.8571
108,18.9623
109,20.0344
110,23.7583
111,17.7984
112,21.6287
113,20.874
114,18.6091
115,20.5775
116,20.9039
117,19.6507
118,17.152
119,22.2367
120,17.9486
121,23.0485
122,15.9967
123,24.6748
124,18.7577
125,20.3902
126,19.9448
127,17.4949
128,22.6535
129,18.6455
130,17.7975
131,24.2132
132,17.0497
133,20.075
134,21.804
135,16.6517
136,20.9089
137,20.7012
138,18.7662
139,24.1033
140,15.4438
141,24.515
142,17.3461
143,18.3165
144,23.1693
145,19.8937
146,20.5874
147,17.8423
148,22.4746
149,19.2965
150,20.275
151,20.0067
152,19.8252
153,18.7794
154,20.3805
155,21.1999
156,18.921
157,19.6285
158,19.8149
159,17.8535
160,24.4195
161,15.6745
162,21.6298
163,22.2873
164,19.5042
165,18.0368
166,18.8175
167,20.9105
168,19.3942
169,22.7436
170,18.647
171,21.9758
172,17.72
173,18.4411
174,19.9725
175,21.2839
176,22.5544
177,17.7183
178,20.5908
179,21.1472
180,20.0842
181,19.9455
182,17.8002
183,22.824
184,18.448
185,20.9958
186,17.9268
187,20.3266
188,20.5739
189,21.2984
190,16.6089
191,22.1961
192,21.2411
193,17.207
194,18.7707
195,21.8033
196,19.161
197,21.1569
198,18.5941
199,22.8336
200,16.9459
201,24.2928
202,16.7265
203,19.1341
204,23.2798
205,16.6584
206,22.4176
207,19.2033
208,21.9841
209,19.4202
210,20.1925
211,19.9651
212,16.6655
213,24.1912
214,16.7511
215,23.0368
216,19.1851
217,20.1896
218,19.9851
219,18.5239
220,21.9226
221,16.2384
222,21.8865
223,18.9361
224,18.69
225,21.0081
226,23.4988
227,18.0071
228,21.6961
229,18.768
230,17.8563
231,23.7269
232,17.9339
233,19.5108
234,22.3718
235,19.3473
236,16.796
237,21.9688
238,21.7181
239,17.6042
240,22.3223
241,19.7646
242,18.7734
243,21.2131
244,19.9436
245,17.0693
246,23.6705
247,19.0856
248,20.3022
249,16.2288
250,24.5523
251,17.8822
252,20.618
253,17.3752
254,24.0938
255,18.9342
256,20.3015
257,17.885
258,18.3295
259,24.6055
260,15.433
261,20.5881
262,23.824
263,16.2115
264,23.6376
265,16.5428
266,19.7642
267,21.5861
268,21.9051
269,19.129
270,18.6905
271,19.451
272,22.3871
273,19.835
274,20.0717
275,17.3068
276,19.8222
277,23.6202
278,15.7678
279,24.0466
280,17.4816
281,20.9267
282,20.762
283,20.3597
284,17.0492
285,20.883
286,18.2191
287,24.1062
288,16.8782
289,20.711
290,22.6982
291,18.3647
292,21.312
293,16.0728
294,19.8271
295,21.6819
296,19.9152
297,20.4216
298,18.4953
299,24.1815
300,17.293
301,21.6362
302,16.7362
303,24.1389
304,19.1307
305,18.4391
306,18.2456
307,24.3841
308,18.8626
309,20.3183
310,18.951
311,19.5288
312,20.5668
313,20.8732
314,19.9288
315,18.2489
316,19.5415
317,21.807
318,20.6502
319,19.2317
320,18.7427
321,21.7718
322,19.022
323,21.3456
324,19.6082
325,17.7059
326,19.0949
327,20.1355
328,23.9867
329,15.9185
330,21.7059
331,21.7169
332,19.097
333,17.3285
334,23.4033
335,17.0734
336,21.0341
337,22.4554
338,16.9774
339,23.1213
340,16.099
341,19.4973
342,20.1423
343,24.5654
344,18.8224
345,17.864
346,22.9642
347,18.7783
348,17.5603
349,22.0701
350,19.3298
351,22.158
352,18.9837
353,20.663
354,19.7432
355,20.1613
356,20.0354
357,19.9875
358,16.4483
359,24.3005
360,19.0449
361,20.1642
362,16.8658
363,23.9313
364,18.9831
365,20.169
366,17.8103
367,21.7931
368,16.5815
369,24.854
370,16.9335
371,18.6479
372,24.3692
373,18.7878
374,20.261
375,19.9705
376,18.8673
377,20.6889
378,20.5231
379,19.8285
380,20.0887
381,19.9678
382,20.1382
383,19.3903
384,18.554
385,22.492
386,16.5962
387,22.492
388,20.4239
389,18.9891
390,19.1338
391,21.5534
392,20.0116
393,20.4
394,16.8685
395,22.2777
396,19.2169
397,20.3317
398,21.4737
399,19.8323
400,17.9606
401,18.6433
402,19.4923
403,21.6216
404,22.6962
405,17.02
406,23.069
407,18.4121
408,17.3804
409,24.5811
410,17.0933
411,19.6735
412,21.7626
413,17.9017
414,23.1795
415,17.9414
416,21.9303
417,19.3653
418,17.4831
419,22.5145
420,18.2679
421,22.3296
422,19.418
423,19.77
424,20.0375
425,18.5123
426,22.2947
427,19.3438
428,19.893
429,20.3254
430,17.1918
431,19.2077
432,24.2551
433,15.548
434,24.7082
435,18.2296
436,18.204
437,23.3086
438,16.1794
439,23.998
440,18.1929
441,18.5895
442,21.7698
443,20.4553
444,19.6938
445,19.3493
446,21.1865
447,19.9599
448,17.5932
449,19.5241
450,23.5784
451,19.0063
452,16.5605
453,24.4902
454,16.2352
455,21.4228
456,20.8395
457,19.7382
458,19.3005
459,17.8661
460,21.4388
461,22.6514
462,17.0896
463,23.167
464,19.2572
465,18.6137
466,22.0035
467,17.01
468,19.4262
469,23.872
470,17.8409
471,18.207
472,20.5522
473,19.4879
474,22.9152
475,18.71
476,21.8498
477,19.5382
478,20.151
479,19.9393
480,20.0285
481,19.963
482,20.0517
483,18.0554
484,21.9152
485,19.9796
486,20.0559
487,19.213
488,20.9761
489,19.8153
490,18.6248
491,21.7907
492,16.5547
493,22.6697
494,17.1172
495,21.8985
496,21.7125
497,19.5568
498,17.6447
499,19.5149
