dt,deg,trial
0.02485,4.8,0
0.11419,10.6,0
0.14314,13.900000000000002,0
0.17993,11.7,0
0.21531,11.5,0
0.24996,11.7,0
0.28561,11.5,0
0.32131,11.7,0
0.35636,11.5,0
0.39348,11.4,0
0.42882,11.7,0
0.46423,11.7,0
0.49981,11.5,0
0.53628,11.7,0
0.5717,11.7,0
0.60593,12.2,0
0.64322,11.7,0
0.67597,11.7,0
0.71296,11.5,0
0.02548,0.7999999999999998,1
0.11469,10.6,1
0.14518,10.5,1
0.18064,10.9,1
0.21626,10.9,1
0.25012,10.9,1
0.28564,11.0,1
0.3205,11.0,1
0.35616,11.0,1
0.38952,10.7,1
0.42494,10.9,1
0.46071,10.3,1
0.49442,10.9,1
0.52994,10.9,1
0.56463,10.9,1
0.60024,11.0,1
0.63494,10.9,1
0.67068,11.0,1
0.70627,11.0,1
0.0255,1.0,2
0.11387,10.4,2
0.14438,11.4,2
0.17795,11.5,2
0.21365,11.7,2
0.24946,11.8,2
0.28711,10.7,2
0.32342,11.8,2
0.35773,11.8,2
0.39327,11.8,2
0.42796,11.7,2
0.46388,11.7,2
0.49876,11.8,2
0.53521,11.8,2
0.57106,11.8,2
0.60677,11.8,2
0.64118,11.7,2
0.67555,11.8,2
0.71126,11.8,2
0.02542,0.2999999999999998,3
0.11614,10.5,3
0.14368,10.6,3
0.17992,11.0,3
0.21543,10.9,3
0.25047,10.9,3
0.28573,10.9,3
0.3213,10.9,3
0.35438,12.0,3
0.39145,11.0,3
0.42467,11.0,3
0.46102,11.4,3
0.49446,11.8,3
0.53029,11.8,3
0.56464,10.9,3
0.60094,11.0,3
0.63402,11.0,3
0.66964,11.0,3
0.70491,10.9,3
0.02546,1.0999999999999996,4
0.11583,10.7,4
0.14461,11.7,4
0.18112,11.8,4
0.21443,12.1,4
0.25221,11.8,4
0.28807,12.1,4
0.32437,13.0,4
0.35986,12.1,4
0.39532,12.1,4
0.42999,11.8,4
0.46557,12.2,4
0.50161,12.1,4
0.53559,12.1,4
0.57162,12.600000000000001,4
0.60498,12.1,4
0.64119,12.1,4
0.67638,11.5,4
0.71205,11.9,4
0.02535,-0.09999999999999964,5
0.11972,0.9000000000000004,5
0.14982,-0.09999999999999964,5
0.18536,-0.20000000000000018,5
0.22088,-0.09999999999999964,5
0.2554,-0.09999999999999964,5
0.29,-0.09999999999999964,5
0.32636,-0.09999999999999964,5
0.36124,-0.09999999999999964,5
0.39596,-0.09999999999999964,5
0.43107,-0.20000000000000018,5
0.46767,-0.09999999999999964,5
0.50464,-0.09999999999999964,5
0.54013,-0.20000000000000018,5
0.57489,-1.2999999999999998,5
0.61095,0.09999999999999964,5
0.6466,-0.20000000000000018,5
0.68284,-0.20000000000000018,5
0.71884,0.20000000000000018,5
0.02133,12.600000000000001,6
0.11028,9.5,6
0.13895,11.8,6
0.17475,11.5,6
0.20992,11.4,6
0.2446,13.099999999999998,6
0.28101,12.3,6
0.31794,12.2,6
0.35392,12.3,6
0.3898,13.4,6
0.42291,12.3,6
0.4588,12.2,6
0.4942,12.2,6
0.53056,12.2,6
0.56591,12.899999999999999,6
0.60146,12.3,6
0.63721,12.3,6
0.6712,12.3,6
0.70568,11.7,6
0.02498,-0.20000000000000018,7
0.11496,10.5,7
0.1436,10.6,7
0.18028,11.0,7
0.21592,11.0,7
0.25044,11.0,7
0.28558,10.9,7
0.32094,10.9,7
0.35616,10.9,7
0.39147,11.0,7
0.42831,11.0,7
0.46207,11.4,7
0.49788,11.0,7
0.53367,11.0,7
0.56927,10.9,7
0.60518,10.9,7
0.64044,10.9,7
0.6759,11.0,7
0.70907,10.9,7
0.02146,1.0999999999999996,8
0.11306,10.2,8
0.14093,11.8,8
0.17852,11.5,8
0.21216,11.8,8
0.2468,11.2,8
0.28412,11.8,8
0.31962,11.8,8
0.35441,11.8,8
0.39037,11.8,8
0.42605,11.8,8
0.46296,11.7,8
0.49931,11.8,8
0.53268,11.5,8
0.56982,12.2,8
0.60414,11.8,8
0.63893,11.8,8
0.67524,11.8,8
0.70995,11.8,8
0.02095,0.2999999999999998,9
0.11081,9.4,9
0.14024,10.6,9
0.17504,10.9,9
0.21005,10.9,9
0.24506,10.9,9
0.27946,10.9,9
0.31323,11.0,9
0.3483,10.9,9
0.38283,10.9,9
0.41909,10.9,9
0.45375,10.9,9
0.48928,11.0,9
0.52479,11.0,9
0.56046,10.9,9
0.59633,10.9,9
0.63006,10.9,9
0.66563,10.7,9
0.70116,11.0,9
0.02447,1.9000000000000004,10
0.11346,10.6,10
0.14393,11.5,10
0.18124,11.7,10
