dt,deg,trial
0.10589,3.5,0
0.13633,3.6,0
0.16988,3.5,0
0.20498,3.7,0
0.24301,3.7,0
0.27835,3.7,0
0.31376,3.6,0
0.3484,3.6,0
0.38408,3.7,0
0.41913,3.7,0
0.45422,3.7,0
0.48956,3.2,0
0.52522,3.7,0
0.56104,3.7,0
0.59675,3.7,0
0.63141,3.7,0
0.66787,3.7,0
0.70357,3.7,0
0.02131,0.30000000000000004,1
0.11075,3.1,1
0.14078,3.4,1
0.17558,3.4,1
0.21071,3.4,1
0.24486,3.2,1
0.28083,3.4,1
0.31645,3.4,1
0.35076,3.2,1
0.38641,3.4,1
0.42097,3.4,1
0.45691,2.7,1
0.49225,3.2,1
0.52875,3.4,1
0.56452,3.4,1
0.59813,2.3,1
0.63347,3.2,1
0.66971,3.4,1
0.7031,3.5,1
0.02513,0.6000000000000001,2
0.0473,0.6000000000000001,2
0.13741,0.6000000000000001,2
0.1661,0.6000000000000001,2
0.2017,0.8,2
0.2354,0.6000000000000001,2
0.2721,0.6000000000000001,2
0.30761,0.6000000000000001,2
0.34083,0.5,2
0.37712,0.6000000000000001,2
0.41255,0.6000000000000001,2
0.44824,0.8,2
0.48401,0.0,2
0.5189,0.6000000000000001,2
0.55455,0.6000000000000001,2
0.59017,0.5,2
0.62462,0.8,2
0.66142,0.6000000000000001,2
0.69714,0.0,2
0.73261,0.6000000000000001,2
0.02113,3.4,3
0.11034,3.5,3
0.13916,2.6,3
0.1743,3.1,3
0.21012,3.2,3
0.24564,3.2,3
0.28141,3.1,3
0.31595,2.2,3
0.35224,3.2,3
0.38526,3.2,3
0.4219,3.2,3
0.45801,3.2,3
0.492,3.2,3
0.52887,3.2,3
0.56458,3.2,3
0.60017,3.2,3
0.63543,3.1,3
0.67102,3.2,3
0.70534,3.4,3
0.02565,0.8,4
0.11552,3.3,4
0.14593,3.9,4
0.18103,3.7,4
0.21653,3.9,4
0.25149,3.9,4
0.2859,3.7,4
0.32156,3.9,4
0.35623,3.9,4
0.3933,3.7,4
0.42771,3.9,4
0.46255,3.3,4
0.49975,3.7,4
0.53313,3.1,4
0.5688,3.6,4
0.60464,3.9,4
0.64094,3.9,4
0.67634,3.9,4
0.71184,3.9,4
0.02507,0.10000000000000009,5
0.1132,3.5,5
0.14376,2.6,5
0.17881,3.1,5
0.21382,2.8,5
0.25069,3.2,5
0.28692,3.1,5
0.32166,3.2,5
0.35724,3.0,5
0.39142,3.2,5
0.42689,3.5,5
0.46264,3.2,5
0.49906,3.2,5
0.53491,3.8,5
0.56899,3.2,5
0.60394,1.9,5
0.6415,2.7,5
0.67602,3.2,5
0.71092,3.2,5
