t,freq_hz,commanded_deg,measured_deg
0.10583,0.2,0.0,0.4
0.13173,0.2148,2.849,0.4
0.23846,0.2185,3.599,0.6
0.26549,0.2334,6.855,0.6
0.36959,0.2372,7.709,0.4
0.39741,0.2517,11.039,0.3
0.50334,0.2556,11.919,0.4
0.52868,0.2705,15.097,0.4
0.6341,0.274,15.793,-0.4
0.66157,0.2888,18.261,-0.5
0.7668,0.2926,18.758,0.4
0.79246,0.3074,19.92,1.2
0.89719,0.311,19.995,0.4
0.92503,0.3256,19.302,0.4
1.03237,0.3295,18.824,0.4
1.06019,0.3445,15.746,0.4
1.16322,0.3484,14.628,0.6
1.19137,0.3629,9.402,0.4
1.29826,0.3668,7.71,0.3
1.32493,0.3818,0.546,0.4
1.43296,0.3855,-1.355,0.4
1.45825,0.4006,-8.985,0.4
1.56429,0.4042,-10.652,0.4
1.59228,0.419,-16.575,0.4
1.69772,0.4229,-17.73,0.4
1.72627,0.4377,-19.981,0.6
1.83278,0.4417,-19.939,0.6
1.86072,0.4566,-17.094,0.8
1.96535,0.4605,-15.656,0.4
1.99327,0.4752,-8.072,0.4
2.10039,0.4791,-5.59,0.0
2.12541,0.4941,4.7,0.4
2.23204,0.4976,7.078,-0.1
2.25703,0.5125,15.722,0.4
2.3612,0.516,17.191,0.4
2.38818,0.5306,19.997,0.4
2.49293,0.5344,19.73,0.6
2.52109,0.549,14.692,0.4
2.62817,0.553,12.348,0.4
2.65613,0.568,0.917,0.6
2.76026,0.5719,-2.378,-0.2
2.78818,0.5864,-13.578,0.4
2.89683,0.5904,-15.882,0.4
2.92229,0.6056,-19.993,0.4
3.02651,0.6091,-19.644,0.6
3.05455,0.6237,-12.968,1.7
3.16049,0.6276,-9.943,0.6
3.18929,0.6425,3.817,0.4
3.29187,0.6465,7.588,0.4
3.31997,0.6609,17.851,0.6
3.42378,0.6648,19.28,0.4
3.45182,0.6793,17.766,0.6
3.55805,0.6833,15.523,0.6
3.58395,0.6981,2.001,0.6
3.68572,0.7018,-1.9,0.4
3.71319,0.716,-15.333,0.4
3.8184,0.7199,-17.704,0.0
3.84521,0.7346,-18.818,0.6
3.9493,0.7383,-16.947,0.6
3.97856,0.7529,-3.312,1.1
4.08234,0.757,1.485,0.7
4.10931,0.7715,16.159,0.3
4.21722,0.7753,18.406,0.4
4.2428,0.7904,17.314,0.4
4.34758,0.794,14.679,0.4
4.37508,0.8087,-1.982,0.6
4.47986,0.8125,-6.758,0.4
4.50799,0.8272,-19.231,0.8
